Training: 2025-04-02 12:12:46,173-rank_id: 0
/afs/crc.nd.edu/user/j/jporubci/Private/ArcIris2/.venv/lib64/python3.9/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Training: 2025-04-02 12:12:47,028-: margin_list              (1.0, 0.5, 0.0)
Training: 2025-04-02 12:12:47,028-: network                  convnext_tiny
Training: 2025-04-02 12:12:47,028-: resume                   False
Training: 2025-04-02 12:12:47,028-: save_all_states          False
Training: 2025-04-02 12:12:47,028-: output                   work_dirs/convnext_tiny
Training: 2025-04-02 12:12:47,029-: embedding_size           512
Training: 2025-04-02 12:12:47,029-: sample_rate              1.0
Training: 2025-04-02 12:12:47,029-: interclass_filtering_threshold0
Training: 2025-04-02 12:12:47,029-: fp16                     True
Training: 2025-04-02 12:12:47,029-: batch_size               128
Training: 2025-04-02 12:12:47,029-: optimizer                adamw
Training: 2025-04-02 12:12:47,029-: lr                       0.001
Training: 2025-04-02 12:12:47,029-: momentum                 0.9
Training: 2025-04-02 12:12:47,029-: weight_decay             0.01
Training: 2025-04-02 12:12:47,029-: verbose                  2000
Training: 2025-04-02 12:12:47,029-: frequent                 10
Training: 2025-04-02 12:12:47,029-: dali                     False
Training: 2025-04-02 12:12:47,029-: dali_aug                 False
Training: 2025-04-02 12:12:47,029-: gradient_acc             1
Training: 2025-04-02 12:12:47,029-: seed                     2048
Training: 2025-04-02 12:12:47,029-: num_workers              1
Training: 2025-04-02 12:12:47,029-: wandb_key                XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
Training: 2025-04-02 12:12:47,029-: suffix_run_name          None
Training: 2025-04-02 12:12:47,029-: using_wandb              False
Training: 2025-04-02 12:12:47,029-: wandb_entity             entity
Training: 2025-04-02 12:12:47,029-: wandb_project            project
Training: 2025-04-02 12:12:47,029-: wandb_log_all            True
Training: 2025-04-02 12:12:47,029-: save_artifacts           False
Training: 2025-04-02 12:12:47,029-: wandb_resume             False
Training: 2025-04-02 12:12:47,029-: rec                      .
Training: 2025-04-02 12:12:47,029-: num_classes              2072
Training: 2025-04-02 12:12:47,029-: num_image                182644
Training: 2025-04-02 12:12:47,029-: num_epoch                200
Training: 2025-04-02 12:12:47,029-: warmup_epoch             0
Training: 2025-04-02 12:12:47,029-: val_targets              ['val.bin']
Training: 2025-04-02 12:12:47,029-: total_batch_size         128
Training: 2025-04-02 12:12:47,030-: warmup_step              0
Training: 2025-04-02 12:12:47,030-: total_step               285200
images_tensor.shape: torch.Size([8192, 3, 64, 512])
img0.shape: torch.Size([3, 64, 512])
img0.min(): 0.0
img0.max(): 1.0
img1.shape: torch.Size([3, 64, 512])
img1.min(): 0.07058823853731155
img1.max(): 0.8470588326454163
issame_ndarray[0]: 1
images_tensor.shape: torch.Size([8192, 3, 64, 512])
/afs/crc.nd.edu/user/j/jporubci/Private/ArcIris2/.venv/lib64/python3.9/site-packages/torch/optim/lr_scheduler.py:227: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
Training: 2025-04-02 12:14:21,046-Speed 87.66 samples/sec   Loss 42.0038   LearningRate 0.001000   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 4096   Required: 200 hours
Training: 2025-04-02 12:14:35,694-Speed 87.39 samples/sec   Loss 42.1583   LearningRate 0.001000   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 4096   Required: 174 hours
Training: 2025-04-02 12:14:50,332-Speed 87.44 samples/sec   Loss 41.3904   LearningRate 0.001000   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 4096   Required: 158 hours
Training: 2025-04-02 12:15:04,999-Speed 87.28 samples/sec   Loss 41.4863   LearningRate 0.001000   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 4096   Required: 151 hours
Training: 2025-04-02 12:15:19,646-Speed 87.39 samples/sec   Loss 41.8175   LearningRate 0.001000   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 4096   Required: 145 hours
Training: 2025-04-02 12:15:34,271-Speed 87.52 samples/sec   Loss 41.9442   LearningRate 0.001000   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 4096   Required: 141 hours
Training: 2025-04-02 12:15:48,901-Speed 87.50 samples/sec   Loss 41.8383   LearningRate 0.001000   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 4096   Required: 138 hours
Training: 2025-04-02 12:16:03,449-Speed 87.99 samples/sec   Loss 41.3909   LearningRate 0.001000   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 4096   Required: 135 hours
Training: 2025-04-02 12:16:17,882-Speed 88.69 samples/sec   Loss 40.9512   LearningRate 0.001000   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 4096   Required: 133 hours
Training: 2025-04-02 12:16:32,359-Speed 88.42 samples/sec   Loss 40.8232   LearningRate 0.001000   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 8192   Required: 131 hours
