images_dir: /afs/crc/group/cvrl/czajka/gbir2/aczajka/BXGRID/iris_segmented_SegNet
out_dir: /project01/cvrl/jporubci/ArcIris Dataset
val_split: 0.2
test_split: 0.2
img_uid_map: img_uid_map.json
seed: 42

Shuffled
Removed existing symlink tree
Created new symlink tree
nd1S04261_Left 0
nd1S04261_Right 1
nd1S04285_Left 2
nd1S04285_Right 3
nd1S04319_Left 4
nd1S04319_Right 5
nd1S04327_Left 6
nd1S04327_Right 7
nd1S04334_Left 8
nd1S04334_Right 9
nd1S04350_Left 10
nd1S04350_Right 11
nd1S04436_Left 12
nd1S04436_Right 13
nd1S04482_Left 14
nd1S04482_Right 15
nd1S04569_Left 16
nd1S04569_Right 17
nd1S04575_Left 18
nd1S04575_Right 19
nd1S04580_Left 20
nd1S04580_Right 21
nd1S04605_Left 22
nd1S04605_Right 23
nd1S04613_Left 24
nd1S04613_Right 25
nd1S04615_Left 26
nd1S04615_Right 27
nd1S04628_Left 28
nd1S04628_Right 29
nd1S04631_Left 30
nd1S04631_Right 31
nd1S04673_Left 32
nd1S04673_Right 33
nd1S04681_Left 34
nd1S04681_Right 35
nd1S04693_Left 36
nd1S04693_Right 37
nd1S04714_Left 38
nd1S04714_Right 39
nd1S04719_Left 40
nd1S04719_Right 41
nd1S04726_Left 42
nd1S04726_Right 43
nd1S04742_Left 44
nd1S04742_Right 45
nd1S04773_Left 46
nd1S04773_Right 47
nd1S04823_Left 48
nd1S04823_Right 49
nd1S04831_Left 50
nd1S04831_Right 51
nd1S04838_Left 52
nd1S04838_Right 53
nd1S04847_Left 54
nd1S04847_Right 55
nd1S04851_Left 56
nd1S04851_Right 57
nd1S04857_Left 58
nd1S04857_Right 59
nd1S04858_Left 60
nd1S04858_Right 61
nd1S04870_Left 62
nd1S04870_Right 63
nd1S04876_Left 64
nd1S04876_Right 65
nd1S04889_Left 66
nd1S04889_Right 67
nd1S04895_Left 68
nd1S04895_Right 69
nd1S04914_Left 70
nd1S04914_Right 71
nd1S04934_Left 72
nd1S04934_Right 73
nd1S05033_Left 74
nd1S05033_Right 75
nd1S05045_Left 76
nd1S05045_Right 77
nd1S05060_Left 78
nd1S05060_Right 79
nd1S05091_Left 80
nd1S05091_Right 81
nd1S05133_Left 82
nd1S05133_Right 83
nd1S05136_Left 84
nd1S05136_Right 85
nd1S05187_Left 86
nd1S05187_Right 87
nd1S05232_Left 88
nd1S05232_Right 89
nd1S05244_Left 90
nd1S05244_Right 91
nd1S05246_Left 92
nd1S05246_Right 93
nd1S05268_Left 94
nd1S05268_Right 95
nd1S05270_Left 96
nd1S05270_Right 97
nd1S05271_Left 98
nd1S05271_Right 99
nd1S05273_Left 100
nd1S05273_Right 101
nd1S05281_Left 102
nd1S05281_Right 103
nd1S05287_Left 104
nd1S05287_Right 105
nd1S05290_Left 106
nd1S05290_Right 107
nd1S05294_Left 108
nd1S05294_Right 109
nd1S05299_Left 110
nd1S05299_Right 111
nd1S05306_Left 112
nd1S05306_Right 113
nd1S05308_Left 114
nd1S05308_Right 115
nd1S05315_Left 116
nd1S05315_Right 117
nd1S05316_Left 118
nd1S05316_Right 119
nd1S05366_Left 120
nd1S05366_Right 121
nd1S05377_Left 122
nd1S05377_Right 123
nd1S05381_Left 124
nd1S05381_Right 125
nd1S05390_Left 126
nd1S05390_Right 127
nd1S05405_Left 128
nd1S05405_Right 129
nd1S05415_Left 130
nd1S05415_Right 131
nd1S05417_Left 132
nd1S05417_Right 133
nd1S05419_Left 134
nd1S05419_Right 135
nd1S05425_Left 136
nd1S05425_Right 137
nd1S05434_Left 138
nd1S05434_Right 139
nd1S05441_Left 140
nd1S05441_Right 141
nd1S05454_Left 142
nd1S05454_Right 143
nd1S05460_Left 144
nd1S05460_Right 145
nd1S05462_Left 146
nd1S05462_Right 147
nd1S05465_Left 148
nd1S05465_Right 149
nd1S05466_Left 150
nd1S05466_Right 151
nd1S05467_Left 152
nd1S05467_Right 153
nd1S05479_Left 154
nd1S05479_Right 155
nd1S05480_Left 156
nd1S05480_Right 157
nd1S05481_Left 158
nd1S05481_Right 159
nd1S05485_Left 160
nd1S05485_Right 161
nd1S05489_Left 162
nd1S05489_Right 163
nd1S05490_Left 164
nd1S05490_Right 165
nd1S05493_Left 166
nd1S05493_Right 167
nd1S05496_Left 168
nd1S05496_Right 169
nd1S05499_Left 170
nd1S05499_Right 171
nd1S05511_Left 172
nd1S05511_Right 173
nd1S05512_Left 174
nd1S05512_Right 175
nd1S05529_Left 176
nd1S05529_Right 177
nd1S05556_Left 178
nd1S05556_Right 179
nd1S05562_Left 180
nd1S05562_Right 181
nd1S05574_Left 182
nd1S05574_Right 183
nd1S05583_Left 184
nd1S05583_Right 185
nd1S05602_Left 186
nd1S05602_Right 187
nd1S05606_Left 188
nd1S05606_Right 189
nd1S05626_Left 190
nd1S05626_Right 191
nd1S05637_Left 192
nd1S05637_Right 193
nd1S05643_Left 194
nd1S05643_Right 195
nd1S05650_Left 196
nd1S05650_Right 197
nd1S05664_Left 198
nd1S05664_Right 199
nd1S05666_Left 200
nd1S05666_Right 201
nd1S05668_Left 202
nd1S05668_Right 203
nd1S05669_Left 204
nd1S05669_Right 205
nd1S05676_Left 206
nd1S05676_Right 207
nd1S05680_Left 208
nd1S05680_Right 209
nd1S05682_Left 210
nd1S05682_Right 211
nd1S05692_Left 212
nd1S05692_Right 213
nd1S05696_Left 214
nd1S05696_Right 215
nd1S05698_Left 216
nd1S05698_Right 217
nd1S05699_Left 218
nd1S05699_Right 219
nd1S05705_Left 220
nd1S05705_Right 221
nd1S05721_Left 222
nd1S05721_Right 223
nd1S05724_Left 224
nd1S05724_Right 225
nd1S05728_Left 226
nd1S05728_Right 227
nd1S05736_Left 228
nd1S05736_Right 229
nd1S05738_Left 230
nd1S05738_Right 231
nd1S05767_Left 232
nd1S05767_Right 233
nd1S05773_Left 234
nd1S05773_Right 235
nd1S05774_Left 236
nd1S05774_Right 237
nd1S05779_Left 238
nd1S05779_Right 239
nd1S05782_Left 240
nd1S05782_Right 241
nd1S05786_Left 242
nd1S05786_Right 243
nd1S05797_Left 244
nd1S05797_Right 245
nd1S05799_Left 246
nd1S05799_Right 247
nd1S05802_Left 248
nd1S05802_Right 249
nd1S05804_Left 250
nd1S05804_Right 251
nd1S05805_Left 252
nd1S05805_Right 253
nd1S05808_Left 254
nd1S05808_Right 255
nd1S05810_Left 256
nd1S05810_Right 257
nd1S05821_Left 258
nd1S05821_Right 259
nd1S05826_Left 260
nd1S05826_Right 261
nd1S05828_Left 262
nd1S05828_Right 263
nd1S05838_Left 264
nd1S05838_Right 265
nd1S05844_Left 266
nd1S05844_Right 267
nd1S05845_Left 268
nd1S05845_Right 269
nd1S05846_Left 270
nd1S05846_Right 271
nd1S05853_Left 272
nd1S05853_Right 273
nd1S05859_Left 274
nd1S05859_Right 275
nd1S05861_Left 276
nd1S05861_Right 277
nd1S05868_Left 278
nd1S05868_Right 279
nd1S05872_Left 280
nd1S05872_Right 281
nd1S05878_Left 282
nd1S05878_Right 283
nd1S05889_Left 284
nd1S05889_Right 285
nd1S05894_Left 286
nd1S05894_Right 287
nd1S05895_Left 288
nd1S05895_Right 289
nd1S05902_Left 290
nd1S05902_Right 291
nd1S05904_Left 292
nd1S05904_Right 293
nd1S05906_Left 294
nd1S05906_Right 295
nd1S05912_Left 296
nd1S05912_Right 297
nd1S05914_Left 298
nd1S05914_Right 299
nd1S05916_Left 300
nd1S05916_Right 301
nd1S05922_Left 302
nd1S05922_Right 303
nd1S05930_Left 304
nd1S05930_Right 305
nd1S05937_Left 306
nd1S05937_Right 307
nd1S05951_Left 308
nd1S05951_Right 309
nd1S05953_Left 310
nd1S05953_Right 311
nd1S05956_Left 312
nd1S05956_Right 313
nd1S05964_Left 314
nd1S05964_Right 315
nd1S05970_Left 316
nd1S05970_Right 317
nd1S06013_Left 318
nd1S06013_Right 319
nd1S06027_Left 320
nd1S06027_Right 321
nd1S06030_Left 322
nd1S06030_Right 323
nd1S06048_Left 324
nd1S06048_Right 325
nd1S06049_Left 326
nd1S06049_Right 327
nd1S06068_Left 328
nd1S06068_Right 329
nd1S06069_Left 330
nd1S06069_Right 331
nd1S06072_Left 332
nd1S06072_Right 333
nd1S06079_Left 334
nd1S06079_Right 335
nd1S06105_Left 336
nd1S06105_Right 337
nd1S06108_Left 338
nd1S06108_Right 339
nd1S06124_Left 340
nd1S06124_Right 341
nd1S06126_Left 342
nd1S06126_Right 343
nd1S06128_Left 344
nd1S06128_Right 345
nd1S06130_Left 346
nd1S06130_Right 347
nd1S06135_Left 348
nd1S06135_Right 349
nd1S06138_Left 350
nd1S06138_Right 351
nd1S06144_Left 352
nd1S06144_Right 353
nd1S06176_Left 354
nd1S06176_Right 355
nd1S06194_Left 356
nd1S06194_Right 357
nd1S06209_Left 358
nd1S06209_Right 359
nd1S06210_Left 360
nd1S06210_Right 361
nd1S06217_Left 362
nd1S06217_Right 363
nd1S06241_Left 364
nd1S06241_Right 365
nd1S06248_Left 366
nd1S06248_Right 367
nd1S06259_Left 368
nd1S06259_Right 369
nd1S06261_Left 370
nd1S06261_Right 371
nd1S06265_Left 372
nd1S06265_Right 373
nd1S06291_Left 374
