Training: 2025-04-09 12:43:34,867-rank_id: 0
/afs/crc.nd.edu/user/j/jporubci/Private/ArcIris2/.venv/lib64/python3.9/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Training: 2025-04-09 12:47:26,117-: margin_list              (1.0, 0.5, 0.0)
Training: 2025-04-09 12:47:26,117-: network                  r100
Training: 2025-04-09 12:47:26,117-: resume                   False
Training: 2025-04-09 12:47:26,117-: save_all_states          True
Training: 2025-04-09 12:47:26,117-: output                   work_dirs/r100
Training: 2025-04-09 12:47:26,117-: embedding_size           512
Training: 2025-04-09 12:47:26,117-: sample_rate              1.0
Training: 2025-04-09 12:47:26,117-: interclass_filtering_threshold0
Training: 2025-04-09 12:47:26,117-: fp16                     True
Training: 2025-04-09 12:47:26,117-: batch_size               128
Training: 2025-04-09 12:47:26,117-: optimizer                adamw
Training: 2025-04-09 12:47:26,117-: lr                       0.001
Training: 2025-04-09 12:47:26,117-: momentum                 0.9
Training: 2025-04-09 12:47:26,117-: weight_decay             0.01
Training: 2025-04-09 12:47:26,117-: verbose                  2000
Training: 2025-04-09 12:47:26,117-: frequent                 10
Training: 2025-04-09 12:47:26,117-: dali                     False
Training: 2025-04-09 12:47:26,117-: dali_aug                 False
Training: 2025-04-09 12:47:26,118-: gradient_acc             1
Training: 2025-04-09 12:47:26,118-: seed                     2048
Training: 2025-04-09 12:47:26,118-: num_workers              2
Training: 2025-04-09 12:47:26,118-: wandb_key                XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
Training: 2025-04-09 12:47:26,118-: suffix_run_name          None
Training: 2025-04-09 12:47:26,118-: using_wandb              False
Training: 2025-04-09 12:47:26,118-: wandb_entity             entity
Training: 2025-04-09 12:47:26,118-: wandb_project            project
Training: 2025-04-09 12:47:26,118-: wandb_log_all            True
Training: 2025-04-09 12:47:26,118-: save_artifacts           False
Training: 2025-04-09 12:47:26,118-: wandb_resume             False
Training: 2025-04-09 12:47:26,118-: train_dir                /project01/cvrl/jporubci/ArcIris Dataset/train
Training: 2025-04-09 12:47:26,118-: val_dir                  /project01/cvrl/jporubci/ArcIris Dataset/val
Training: 2025-04-09 12:47:26,118-: test_dir                 /project01/cvrl/jporubci/ArcIris Dataset/test
Training: 2025-04-09 12:47:26,118-: rec                      .
Training: 2025-04-09 12:47:26,118-: num_classes              2071
Training: 2025-04-09 12:47:26,118-: num_image                182644
Training: 2025-04-09 12:47:26,118-: num_epoch                200
Training: 2025-04-09 12:47:26,118-: warmup_epoch             0
Training: 2025-04-09 12:47:26,118-: val_targets              ['val.bin']
Training: 2025-04-09 12:47:26,118-: debug                    False
Training: 2025-04-09 12:47:26,118-: strategy                 none
Training: 2025-04-09 12:47:26,118-: total_batch_size         128
Training: 2025-04-09 12:47:26,118-: warmup_step              0
Training: 2025-04-09 12:47:26,118-: total_step               285200
/afs/crc.nd.edu/user/j/jporubci/Private/ArcIris2/.venv/lib64/python3.9/site-packages/torch/optim/lr_scheduler.py:227: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
image_pairs_tensor.shape: torch.Size([8192, 3, 64, 512])
image_0.shape: torch.Size([3, 64, 512])
image_0.min(): -0.6705882549285889
image_0.max(): 1.0
image_1.shape: torch.Size([3, 64, 512])
image_1.min(): -0.9764705896377563
image_1.max(): 0.21568632125854492
issame[0]: True
Training: 2025-04-09 12:48:51,963-Speed 33.73 samples/sec   Loss 42.1290   LearningRate 0.001000   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 16384   Required: 298 hours
Training: 2025-04-09 12:49:31,183-Speed 32.64 samples/sec   Loss 40.7117   LearningRate 0.001000   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 16384   Required: 302 hours
Training: 2025-04-09 12:50:09,059-Speed 33.79 samples/sec   Loss 39.2043   LearningRate 0.001000   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 16384   Required: 301 hours
Training: 2025-04-09 12:50:46,307-Speed 34.37 samples/sec   Loss 37.5137   LearningRate 0.001000   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 16384   Required: 300 hours
Training: 2025-04-09 12:51:23,511-Speed 34.41 samples/sec   Loss 35.4520   LearningRate 0.001000   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 16384   Required: 300 hours
Training: 2025-04-09 12:52:00,115-Speed 34.97 samples/sec   Loss 32.2486   LearningRate 0.001000   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 16384   Required: 298 hours
Training: 2025-04-09 12:52:36,611-Speed 35.07 samples/sec   Loss 28.5927   LearningRate 0.001000   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 16384   Required: 297 hours
Training: 2025-04-09 12:53:13,689-Speed 34.52 samples/sec   Loss 25.2735   LearningRate 0.001000   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 16384   Required: 297 hours
