Training: 2025-04-15 11:33:01,311-rank_id: 0
/afs/crc.nd.edu/user/j/jporubci/Private/ArcIris2/.venv/lib64/python3.9/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Training: 2025-04-15 11:33:50,907-: margin_list              (1.0, 0.5, 0.0)
Training: 2025-04-15 11:33:50,908-: network                  r100
Training: 2025-04-15 11:33:50,908-: resume                   False
Training: 2025-04-15 11:33:50,908-: save_all_states          True
Training: 2025-04-15 11:33:50,908-: output                   work_dirs/r100_blur
Training: 2025-04-15 11:33:50,908-: embedding_size           512
Training: 2025-04-15 11:33:50,908-: sample_rate              1.0
Training: 2025-04-15 11:33:50,908-: interclass_filtering_threshold0
Training: 2025-04-15 11:33:50,908-: fp16                     True
Training: 2025-04-15 11:33:50,908-: batch_size               128
Training: 2025-04-15 11:33:50,908-: optimizer                adamw
Training: 2025-04-15 11:33:50,908-: lr                       0.001
Training: 2025-04-15 11:33:50,908-: momentum                 0.9
Training: 2025-04-15 11:33:50,908-: weight_decay             0.01
Training: 2025-04-15 11:33:50,908-: verbose                  2000
Training: 2025-04-15 11:33:50,908-: frequent                 10
Training: 2025-04-15 11:33:50,908-: dali                     False
Training: 2025-04-15 11:33:50,908-: dali_aug                 False
Training: 2025-04-15 11:33:50,908-: gradient_acc             1
Training: 2025-04-15 11:33:50,908-: seed                     2048
Training: 2025-04-15 11:33:50,908-: num_workers              2
Training: 2025-04-15 11:33:50,908-: wandb_key                XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
Training: 2025-04-15 11:33:50,908-: suffix_run_name          None
Training: 2025-04-15 11:33:50,908-: using_wandb              False
Training: 2025-04-15 11:33:50,908-: wandb_entity             entity
Training: 2025-04-15 11:33:50,908-: wandb_project            project
Training: 2025-04-15 11:33:50,908-: wandb_log_all            True
Training: 2025-04-15 11:33:50,908-: save_artifacts           False
Training: 2025-04-15 11:33:50,909-: wandb_resume             False
Training: 2025-04-15 11:33:50,909-: train_dir                /project01/cvrl/jporubci/ArcIris Dataset/train
Training: 2025-04-15 11:33:50,909-: val_dir                  /project01/cvrl/jporubci/ArcIris Dataset/val
Training: 2025-04-15 11:33:50,909-: test_dir                 /project01/cvrl/jporubci/ArcIris Dataset/test
Training: 2025-04-15 11:33:50,909-: rec                      .
Training: 2025-04-15 11:33:50,909-: num_classes              2071
Training: 2025-04-15 11:33:50,909-: num_image                182644
Training: 2025-04-15 11:33:50,909-: num_epoch                200
Training: 2025-04-15 11:33:50,909-: warmup_epoch             0
Training: 2025-04-15 11:33:50,909-: val_targets              ['val.bin']
Training: 2025-04-15 11:33:50,909-: debug                    False
Training: 2025-04-15 11:33:50,909-: strategy                 blur
Training: 2025-04-15 11:33:50,909-: total_batch_size         128
Training: 2025-04-15 11:33:50,909-: warmup_step              0
Training: 2025-04-15 11:33:50,909-: total_step               285200
/afs/crc.nd.edu/user/j/jporubci/Private/ArcIris2/.venv/lib64/python3.9/site-packages/torch/optim/lr_scheduler.py:227: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
image_pairs_tensor.shape: torch.Size([8192, 3, 64, 512])
image_0.shape: torch.Size([3, 64, 512])
image_0.min(): -0.6705882549285889
image_0.max(): 1.0
image_1.shape: torch.Size([3, 64, 512])
image_1.min(): -0.9764705896377563
image_1.max(): 0.21568632125854492
issame[0]: True
Training: 2025-04-15 11:34:47,093-Speed 63.16 samples/sec   Loss 42.5766   LearningRate 0.001000   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 16384   Required: 204 hours
Training: 2025-04-15 11:35:07,334-Speed 63.24 samples/sec   Loss 41.5096   LearningRate 0.001000   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 16384   Required: 192 hours
Training: 2025-04-15 11:35:27,551-Speed 63.32 samples/sec   Loss 40.7958   LearningRate 0.001000   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 16384   Required: 184 hours
Training: 2025-04-15 11:35:47,955-Speed 62.74 samples/sec   Loss 40.0789   LearningRate 0.001000   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 16384   Required: 179 hours
Training: 2025-04-15 11:36:08,321-Speed 62.85 samples/sec   Loss 38.7324   LearningRate 0.001000   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 16384   Required: 177 hours
Training: 2025-04-15 11:36:28,659-Speed 62.94 samples/sec   Loss 37.1887   LearningRate 0.001000   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 16384   Required: 174 hours
Training: 2025-04-15 11:36:49,050-Speed 62.77 samples/sec   Loss 34.7787   LearningRate 0.001000   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 16384   Required: 172 hours
Training: 2025-04-15 11:37:09,485-Speed 62.64 samples/sec   Loss 32.9143   LearningRate 0.001000   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 16384   Required: 171 hours
