Training: 2025-04-09 12:43:34,969-rank_id: 0
/afs/crc.nd.edu/user/j/jporubci/Private/ArcIris2/.venv/lib64/python3.9/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Training: 2025-04-09 12:44:26,166-: margin_list              (1.0, 0.5, 0.0)
Training: 2025-04-09 12:44:26,167-: network                  r100
Training: 2025-04-09 12:44:26,167-: resume                   False
Training: 2025-04-09 12:44:26,167-: save_all_states          True
Training: 2025-04-09 12:44:26,167-: output                   work_dirs/r100_noise
Training: 2025-04-09 12:44:26,167-: embedding_size           512
Training: 2025-04-09 12:44:26,167-: sample_rate              1.0
Training: 2025-04-09 12:44:26,167-: interclass_filtering_threshold0
Training: 2025-04-09 12:44:26,167-: fp16                     True
Training: 2025-04-09 12:44:26,167-: batch_size               128
Training: 2025-04-09 12:44:26,167-: optimizer                adamw
Training: 2025-04-09 12:44:26,167-: lr                       0.001
Training: 2025-04-09 12:44:26,167-: momentum                 0.9
Training: 2025-04-09 12:44:26,167-: weight_decay             0.01
Training: 2025-04-09 12:44:26,167-: verbose                  2000
Training: 2025-04-09 12:44:26,167-: frequent                 10
Training: 2025-04-09 12:44:26,167-: dali                     False
Training: 2025-04-09 12:44:26,167-: dali_aug                 False
Training: 2025-04-09 12:44:26,167-: gradient_acc             1
Training: 2025-04-09 12:44:26,167-: seed                     2048
Training: 2025-04-09 12:44:26,167-: num_workers              2
Training: 2025-04-09 12:44:26,167-: wandb_key                XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
Training: 2025-04-09 12:44:26,167-: suffix_run_name          None
Training: 2025-04-09 12:44:26,167-: using_wandb              False
Training: 2025-04-09 12:44:26,167-: wandb_entity             entity
Training: 2025-04-09 12:44:26,167-: wandb_project            project
Training: 2025-04-09 12:44:26,167-: wandb_log_all            True
Training: 2025-04-09 12:44:26,167-: save_artifacts           False
Training: 2025-04-09 12:44:26,167-: wandb_resume             False
Training: 2025-04-09 12:44:26,167-: train_dir                /project01/cvrl/jporubci/ArcIris Dataset/train
Training: 2025-04-09 12:44:26,167-: val_dir                  /project01/cvrl/jporubci/ArcIris Dataset/val
Training: 2025-04-09 12:44:26,168-: test_dir                 /project01/cvrl/jporubci/ArcIris Dataset/test
Training: 2025-04-09 12:44:26,168-: rec                      .
Training: 2025-04-09 12:44:26,168-: num_classes              2071
Training: 2025-04-09 12:44:26,168-: num_image                182644
Training: 2025-04-09 12:44:26,168-: num_epoch                200
Training: 2025-04-09 12:44:26,168-: warmup_epoch             0
Training: 2025-04-09 12:44:26,168-: val_targets              ['val.bin']
Training: 2025-04-09 12:44:26,168-: debug                    False
Training: 2025-04-09 12:44:26,168-: strategy                 noise
Training: 2025-04-09 12:44:26,168-: total_batch_size         128
Training: 2025-04-09 12:44:26,168-: warmup_step              0
Training: 2025-04-09 12:44:26,168-: total_step               285200
image_pairs_tensor.shape: torch.Size([8192, 3, 64, 512])
image_0.shape: torch.Size([3, 64, 512])
image_0.min(): -0.6705882549285889
image_0.max(): 1.0
image_1.shape: torch.Size([3, 64, 512])
image_1.min(): -0.9764705896377563
image_1.max(): 0.21568632125854492
issame[0]: True
Training: 2025-04-09 12:45:44,772-Speed 34.85 samples/sec   Loss 42.3001   LearningRate 0.001000   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 65536   Required: 290 hours
Training: 2025-04-09 12:46:22,289-Speed 34.12 samples/sec   Loss 41.2391   LearningRate 0.001000   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 65536   Required: 291 hours
Training: 2025-04-09 12:46:59,490-Speed 34.41 samples/sec   Loss 41.0122   LearningRate 0.001000   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 65536   Required: 292 hours
Training: 2025-04-09 12:47:36,342-Speed 34.74 samples/sec   Loss 40.2920   LearningRate 0.001000   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 65536   Required: 292 hours
Training: 2025-04-09 12:48:13,657-Speed 34.30 samples/sec   Loss 38.7665   LearningRate 0.001000   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 65536   Required: 293 hours
Training: 2025-04-09 12:48:50,277-Speed 34.95 samples/sec   Loss 36.0523   LearningRate 0.001000   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 65536   Required: 292 hours
Training: 2025-04-09 12:49:27,611-Speed 34.29 samples/sec   Loss 33.8144   LearningRate 0.001000   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 65536   Required: 293 hours
Training: 2025-04-09 12:50:04,960-Speed 34.27 samples/sec   Loss 30.6591   LearningRate 0.001000   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 65536   Required: 293 hours
Training: 2025-04-09 12:50:41,840-Speed 34.71 samples/sec   Loss 26.3762   LearningRate 0.001000   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 131072   Required: 293 hours
Training: 2025-04-09 12:51:19,575-Speed 33.92 samples/sec   Loss 24.0775   LearningRate 0.001000   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 131072   Required: 294 hours
Training: 2025-04-09 12:51:58,328-Speed 33.03 samples/sec   Loss 20.8020   LearningRate 0.001000   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 131072   Required: 295 hours
