Training: 2025-04-02 12:11:42,170-rank_id: 0
/afs/crc.nd.edu/user/j/jporubci/Private/ArcIris2/.venv/lib64/python3.9/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Training: 2025-04-02 12:11:43,193-: margin_list              (1.0, 0.5, 0.0)
Training: 2025-04-02 12:11:43,193-: network                  r100
Training: 2025-04-02 12:11:43,193-: resume                   False
Training: 2025-04-02 12:11:43,193-: save_all_states          False
Training: 2025-04-02 12:11:43,193-: output                   work_dirs/r100
Training: 2025-04-02 12:11:43,193-: embedding_size           512
Training: 2025-04-02 12:11:43,193-: sample_rate              1.0
Training: 2025-04-02 12:11:43,193-: interclass_filtering_threshold0
Training: 2025-04-02 12:11:43,193-: fp16                     True
Training: 2025-04-02 12:11:43,193-: batch_size               128
Training: 2025-04-02 12:11:43,193-: optimizer                adamw
Training: 2025-04-02 12:11:43,193-: lr                       0.001
Training: 2025-04-02 12:11:43,193-: momentum                 0.9
Training: 2025-04-02 12:11:43,193-: weight_decay             0.01
Training: 2025-04-02 12:11:43,193-: verbose                  2000
Training: 2025-04-02 12:11:43,193-: frequent                 10
Training: 2025-04-02 12:11:43,193-: dali                     False
Training: 2025-04-02 12:11:43,193-: dali_aug                 False
Training: 2025-04-02 12:11:43,193-: gradient_acc             1
Training: 2025-04-02 12:11:43,193-: seed                     2048
Training: 2025-04-02 12:11:43,194-: num_workers              1
Training: 2025-04-02 12:11:43,194-: wandb_key                XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
Training: 2025-04-02 12:11:43,194-: suffix_run_name          None
Training: 2025-04-02 12:11:43,194-: using_wandb              False
Training: 2025-04-02 12:11:43,194-: wandb_entity             entity
Training: 2025-04-02 12:11:43,194-: wandb_project            project
Training: 2025-04-02 12:11:43,194-: wandb_log_all            True
Training: 2025-04-02 12:11:43,194-: save_artifacts           False
Training: 2025-04-02 12:11:43,194-: wandb_resume             False
Training: 2025-04-02 12:11:43,194-: rec                      .
Training: 2025-04-02 12:11:43,194-: num_classes              2072
Training: 2025-04-02 12:11:43,194-: num_image                182644
Training: 2025-04-02 12:11:43,194-: num_epoch                200
Training: 2025-04-02 12:11:43,194-: warmup_epoch             0
Training: 2025-04-02 12:11:43,194-: val_targets              ['val.bin']
Training: 2025-04-02 12:11:43,194-: total_batch_size         128
Training: 2025-04-02 12:11:43,194-: warmup_step              0
Training: 2025-04-02 12:11:43,194-: total_step               285200
images_tensor.shape: torch.Size([8192, 3, 64, 512])
img0.shape: torch.Size([3, 64, 512])
img0.min(): 0.0
img0.max(): 1.0
img1.shape: torch.Size([3, 64, 512])
img1.min(): 0.07058823853731155
img1.max(): 0.8470588326454163
issame_ndarray[0]: 1
images_tensor.shape: torch.Size([8192, 3, 64, 512])
/afs/crc.nd.edu/user/j/jporubci/Private/ArcIris2/.venv/lib64/python3.9/site-packages/torch/optim/lr_scheduler.py:227: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
Training: 2025-04-02 12:12:46,616-Speed 62.91 samples/sec   Loss 42.2081   LearningRate 0.001000   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 32768   Required: 192 hours
Training: 2025-04-02 12:13:06,863-Speed 63.22 samples/sec   Loss 42.1163   LearningRate 0.001000   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 32768   Required: 181 hours
Training: 2025-04-02 12:13:27,152-Speed 63.09 samples/sec   Loss 41.8240   LearningRate 0.001000   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 32768   Required: 178 hours
Training: 2025-04-02 12:13:47,400-Speed 63.22 samples/sec   Loss 41.0655   LearningRate 0.001000   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 32768   Required: 174 hours
Training: 2025-04-02 12:14:07,629-Speed 63.28 samples/sec   Loss 40.3201   LearningRate 0.001000   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 32768   Required: 171 hours
Training: 2025-04-02 12:14:29,672-Speed 58.07 samples/sec   Loss 40.0787   LearningRate 0.001000   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 32768   Required: 172 hours
Training: 2025-04-02 12:14:49,929-Speed 63.19 samples/sec   Loss 39.4848   LearningRate 0.001000   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 32768   Required: 170 hours
Training: 2025-04-02 12:15:10,131-Speed 63.36 samples/sec   Loss 38.9987   LearningRate 0.001000   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 32768   Required: 170 hours
Training: 2025-04-02 12:15:30,333-Speed 63.36 samples/sec   Loss 37.8747   LearningRate 0.001000   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 32768   Required: 169 hours
Training: 2025-04-02 12:15:50,544-Speed 63.34 samples/sec   Loss 36.1656   LearningRate 0.001000   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 65536   Required: 168 hours
